wl_nm,intensity,n_BK7,n_SF2,n_SF5,n_BAF10,n_SF10,n_BAK4,n_SF57
500.5,0.0851431638,1.5213856439764,1.6587264318676913,1.6847781738090497,1.67825,1.74315,1.57468,1.86746
500.7,0.08645302802,1.5213723632237195,1.6586929033319964,1.6847437966326086,1.6782202524647911,1.7430968741556505,1.574659846238762,1.8673847333525386
500.8,0.08502408117,1.5213657288620468,1.658676166909398,1.684726608044388,1.6782055071330022,1.7430704823647605,1.5746498284981434,1.8673473595993073
501.0,0.08721513301,1.5213524721680336,1.6586427497546976,1.6846922308679468,1.6781762683497092,1.7430180354906653,1.5746299095672376,1.86727312240276
501.1,0.08640539646,1.5213458498356942,1.658626069022597,1.684675042279726,1.6781617729016662,1.7429919781855066,1.5746200076850838,1.867236255427011
501.3,0.0887869671,1.5213326172003487,1.6585927632488917,1.684640665103285,1.6781330249014403,1.7429401902840838,1.5746003173577034,1.867163015889479
501.4,0.09338340163,1.5213260068973429,1.658576138207288,1.6846234765150645,1.678118770352719,1.742914457465866,1.5745905282206103,1.8671266397952626
501.6,0.08678644896,1.521312798320665,1.6585429438145782,1.6845890993386232,1.6780904951667102,1.7428633085395324,1.5745710602699483,1.8670543661248455
501.8,0.08876314759,1.521299605783098,1.658509823675865,1.684554722162182,1.6780625252074868,1.7428125744868246,1.574551737111096,1.8669827187036736
501.9,0.09035880119,1.5212930155289812,1.6584932914517572,1.6845375335739614,1.678048652192246,1.742787360260638,1.574542128963763,1.8669471254210124
502.1,0.08823920786,1.521279847050082,1.658460282694039,1.68450315639752,1.678021125099158,1.742737231853716,1.5745230178036165,1.8668763908804566
502.2,0.09012064338,1.5212732688252988,1.658443806160428,1.6844859678092996,1.6780074690247722,1.742712315451026,1.5745135140989346,1.8668412460901285
502.4,0.08785815537,1.521260124405067,1.6584109087837056,1.6844515906328583,1.6779803668289717,1.7426627726923078,1.5744946087106877,1.8667713926382907
502.6,0.08935854584,1.5212469960239463,1.6583780856609789,1.684417213456417,1.6779535379153347,1.742613609255957,1.5744758370443697,1.866702108916765
502.7,0.09276419133,1.5212404378480526,1.6583617019448642,1.6844000248681965,1.6779402234436542,1.7425891670062277,1.5744665004920997,1.8666676762893277
502.9,0.08928709477,1.5212273335255997,1.6583289902031326,1.6843656476917557,1.677913789479222,1.742540555888776,1.5744479242196687,1.8665992206700208
503.0,0.08928709477,1.5212207873790395,1.6583126621775155,1.6843484591035347,1.6779006679899322,1.7425163847991008,1.574438683807641,1.8665651941457184
503.2,0.09007301182,1.521207707115254,1.6582800618167792,1.6843140819270936,1.6778746110058558,1.7424683060029669,1.574420296702291,1.8664975348367312
503.3,0.09035880119,1.5212011729980273,1.6582637894816594,1.684296893338873,1.6778616735145315,1.7424443960745548,1.5744111493171014,1.8664638985196138
503.5,0.09388352931,1.5211881167929089,1.6582313005019182,1.6842625161624318,1.6778359755419625,1.7423968296021564,1.5743929451520249,1.866397003729047
503.7,0.09212116897,1.5211750766269017,1.6581988857761731,1.6842281389859906,1.6778105069277036,1.7423495935691462,1.574374859487793,1.8663306009552616
503.8,0.09683667868,1.5211685625585647,1.6581827062585497,1.68421095039777,1.677797856134267,1.7423260966899696,1.57436586022866,1.8662975796591197
504.0,0.09440747648,1.521155546451225,1.6581504029138,1.6841765732213287,1.6777727165834326,1.74227933965139,1.5743479471266897,1.8662318884172553
504.1,0.09566970915,1.5211490444122215,1.658134279086673,1.6841593846331082,1.6777602258294972,1.7422560772700344,1.5743390325919857,1.8661992149391002
504.3,0.09905154258,1.521136052363549,1.6581020871229186,1.684125007456667,1.6777353973732387,1.742209779228304,1.57432128582547,1.8661342034372586
504.4,0.1026953459,1.5211295623538794,1.6580860189862898,1.6841078188684464,1.6777230576743778,1.7421867413459766,1.5743124529017911,1.8661018618811396
504.6,0.1002423242,1.5211165943638745,1.6580539384035302,1.6840734416920051,1.6776985223438463,1.7421408823035125,1.574294866243923,1.866037498327421
504.8,0.09621746838,1.521103642412981,1.658021932074767,1.6840390645155638,1.6776741724477722,1.7420953048174586,1.574277382865816,1.8659735490769525
504.9,0.09452655166,1.5210971724522009,1.658005956755634,1.684021875927343,1.6776620645419829,1.7420726188806432,1.5742686790418383,1.865941725399895
505.0,0.0962388505196934,1.521090706501198,1.65799,1.6840046873391228,1.67765,1.74205,1.57426,1.86591
505.1,0.09776549041,1.521084244559974,1.6579740618078658,1.683987498750902,1.6776379778235535,1.7420274470645518,1.574251345394367,1.865878371111051
505.2,0.09593167901,1.5210777866285274,1.6579581421792304,1.6839703101626815,1.6776259970143743,1.7420049589633222,1.5742427148790052,1.8658468369668306
505.4,0.09886101633,1.5210648827949682,1.657926358612457,1.6839359329862402,1.6776021555047411,1.7419601728196117,1.5742255247353625,1.8657840458477122
505.6,0.1035288945,1.5210519950005206,1.6578946492996804,1.6839015558097992,1.6775784674849434,1.7419156326810523,1.5742084268016008,1.8657216125129101
505.7,0.09955167025,1.5210455571179635,1.657878822488541,1.6838843672215784,1.6775666785380607,1.7418934520862632,1.5741999115485916,1.8656905255990877
505.9,0.1008139029,1.5210326933821832,1.6578472245567597,1.6838499900451374,1.6775432057789768,1.741849264290781,1.5741829467406467,1.8656286024475126
506.0,0.09802746028,1.52102626752896,1.6578314534361178,1.6838328014569166,1.6775315199702383,1.7418272548681344,1.5741744964938438,1.865597762677328
506.2,0.1032907367,1.5210134278518466,1.6577999668853307,1.6837984242804755,1.6775082445030196,1.7417833994181458,1.5741576585849084,1.8655363179170807
506.3,0.09767022729,1.521007014027957,1.6577842514551864,1.6837812356922548,1.6774966528480009,1.7417615511688505,1.5741492702309083,1.8655057093945846
506.5,0.09931351244,1.520994198409511,1.6577528762853948,1.6837468585158135,1.677473556703798,1.7417180080667742,1.5741325529941756,1.8654447112337658
506.7,0.100909166,1.5209813988301768,1.6577215753696,1.6837124813393725,1.6774505701255782,1.7416746620868713,1.5741159127462407,1.8653839931437328
506.8,0.09645562619,1.5209750050551765,1.657705952756951,1.683695292751152,1.6774391154280386,1.7416530602402924,1.5741076206282378,1.8653537347097193
507.0,0.1024571881,1.520962229534509,1.6576747632221511,1.6836609155747106,1.677416278224752,1.7416099932789968,1.5740910906744932,1.8652934102326153
507.1,0.09645562619,1.5209558477888427,1.6576591963,1.68364372698649,1.6774048937224673,1.7415885259423267,1.574082852146884,1.865263340657092
507.3,0.09847996384,1.5209430963268429,1.6576281181461952,1.6836093498100488,1.6773821879252655,1.741545718002057,1.574066426260523,1.8652033780010187
507.4,0.1002185121,1.5209367266105098,1.6576126069145416,1.6835921612218283,1.677370864633811,1.7415243751765042,1.5740582382099038,1.8651734813880356
507.6,0.0993373245,1.5209239989804963,1.6575816308126443,1.683557784045387,1.677348272273845,1.7414818062596773,1.5740419101641188,1.8651138487610932
507.8,0.1020523161,1.5209112858028242,1.65755066366113,1.683523406868946,1.6773257455560089,1.741439385582045,1.574025643886048,1.8650544184914055
507.9,0.1029573157,1.5209049345486112,1.6575351799433593,1.6835062182807252,1.6773145043172155,1.7414182280554844,1.5740175330450703,1.8650247748249902
508.1,0.1035527065,1.5208922427094302,1.6575042122237889,1.6834718411042842,1.6772920610885338,1.7413760130719915,1.5740013542295646,1.8649656215979349
508.2,0.1053150743,1.5208859021244627,1.6574887282219894,1.6834546525160634,1.6772808571021054,1.7413549533931056,1.5739932855631678,1.8649361085048612
508.4,0.1078633517,1.5208732316237723,1.6574577599343632,1.6834202753396224,1.6772584793937275,1.7413129241061698,1.5739771879834186,1.8648772005285388
508.6,0.1052198112,1.5208605753487432,1.6574267912680325,1.683385898163181,1.6772361353828584,1.7412710075071705,1.573961141101504,1.8648184383905386
508.7,0.1022190303,1.5208542525458513,1.6574113067928529,1.6833687095749603,1.677224973518317,1.7412500886882056,1.5739531358074006,1.8647891075953686
508.9,0.1078633517,1.5208416176093125,1.657380337558466,1.6833343323985193,1.677202665079671,1.7412083244564598,1.5739371597832317,1.864730537721603
509.0,0.1060295403,1.5208353054756665,1.6573648527992586,1.6833171438102987,1.677191516509028,1.7411874768217257,1.5739291883612991,1.8647012951105753
509.2,0.1090065092,1.5208226918776186,1.657333882996815,1.6832827666338577,1.6771692256737565,1.7411458449596509,1.5739132769680688,1.864642885709145
509.3,0.1075775623,1.5208163904132173,1.6573183979535793,1.683265578045637,1.6771580814125877,1.741125058510356,1.5739053363049034,1.8646137153863092
509.5,0.1054817811,1.5208037981536608,1.65728742758308,1.6832312008691956,1.6771357902118398,1.74108353902037,1.5738894833158046,1.8645554346653155
509.7,0.1070298031,1.5207912201197646,1.657256456833876,1.6831968236927544,1.6771134887847476,1.741042083335341,1.5738736658034558,1.864497222069112
509.8,0.1036717892,1.520784936437439,1.6572409713172602,1.6831796351045338,1.6771023317406493,1.7410213766422438,1.5738657694862288,1.8644681369022655
510.0,0.1076728255,1.5207723797420338,1.65721,1.6831452579280926,1.67708,1.74098,1.57385,1.86441
510.1,0.1086492687,1.5207661067289544,1.6571945141993565,1.683128069339872,1.6770688235378686,1.740959328020972,1.5738421261563402,1.8643809450481446
510.3,0.1091017723,1.5207535713720397,1.6571635423140398,1.683093692163431,1.677046449519738,1.740918015417826,1.573826398916874,1.8643228602638575
510.5,0.1078157201,1.5207410502407863,1.6571325700500197,1.6830593149869897,1.677024049959666,1.7408767448976277,1.5738106973233714,1.8642648098372636
510.6,0.1089826897,1.5207347950097818,1.657117083775995,1.6830421263987692,1.6770128415701089,1.740856125522286,1.5738028555371666,1.8642357978325266
510.8,0.1093399301,1.5207222952170192,1.6570861109439188,1.683007749222328,1.676990409509363,1.7408149187484188,1.5737871887724697,1.8641778008890182
510.9,0.1084111184,1.5207160506552602,1.6570706243858662,1.6829905606341071,1.6769791866131405,1.7407943314328147,1.5737793633086257,1.8641488162097868
511.1,0.1068154648,1.5207035722009887,1.6570396509857337,1.682956183457666,1.6769567290264076,1.7407531891515682,1.5737637270045663,1.864090875085217
511.2,0.1128646508,1.5206973383084752,1.6570241641436527,1.6829389948694455,1.6769454951108629,1.7407326342688467,1.573755915678999,1.8640619188994179
511.4,0.1117215008,1.5206848811926943,1.6569931901754638,1.6829046176930045,1.6769230189728292,1.740691557226511,1.5737403054674095,1.8640040359296395
511.6,0.1117929444,1.5206724383025738,1.6569622158285702,1.682870240516563,1.6769005343420875,1.7406505240913877,1.5737247102240393,1.8639461930274186
511.7,0.109244667,1.520666222192136,1.6569467285131094,1.6828530519283424,1.676889289810657,1.7406300240926822,1.5737169176087469,1.863917286926066
511.9,0.1112689972,1.5206538006405066,1.6569157535981598,1.6828186747519012,1.6768667982530918,1.740589057440286,1.5737013411775662,1.8638595060717253
512.0,0.1080538779,1.5206475951993146,1.656900265998671,1.6828014861636806,1.6768555520019215,1.740568590869517,1.5736935568763268,1.8638306315782762
512.2,0.1119596586,1.5206351949861765,1.6568692905156652,1.6827671089872394,1.6768330604922184,1.7405276914461378,1.5736779948891677,1.863772915107669
512.4,0.1094113737,1.5206228089986984,1.6568383146539554,1.6827327318107983,1.676810572889249,1.7404868372567093,1.5736624401045964,1.8637152428572463
512.5,0.1115786061,1.520616621339582,1.6568228265810865,1.6827155432225775,1.676799331521496,1.7404664272283772,1.573654664806591,1.863686423639028
512.7,0.1119834706,1.520604256369536,1.656791878349786,1.6826811660461365,1.6767768555908664,1.7404256415117818,1.573639117185761,1.8636288196654274
512.8,0.1097924262,1.5205980789783415,1.656776425240972,1.6826639774579155,1.6767656218029552,1.7404052659064393,1.573631344377585,1.8636000351695838
513.0,0.1104354486,1.5205857343836098,1.6567455610370143,1.682629600281475,1.6767431645193516,1.740364549408968,1.5736157995523286,1.8635425018086584
513.1,0.110721238,1.5205795671800724,1.6567301499418714,1.682612411693254,1.6767319417986242,1.7403442085997594,1.5736080270498964,1.863513753203115
513.3,0.1136743873,1.520567242960655,1.6566993697652563,1.6825780345168129,1.6767095101367326,1.7403035620677008,1.5735924806520456,1.8634562927907172
513.5,0.1156749055,1.5205549323247802,1.6566686456068695,1.6825436573403716,1.6766870994308083,1.7402629625938566,1.5735769307790384,1.863398882308368
513.6,0.1132218912,1.5205487821006718,1.6566533045345122,1.682526468752151,1.67667590290504,1.7402426806074165,1.5735691539326608,1.8633701961153852
513.8,0.1169609576,1.5205364918401114,1.656622664403468,1.6824920915757098,1.6766535294453044,1.7402021523428015,1.5735535952067787,1.8633128624746522
513.9,0.1148889884,1.5205303518036597,1.656607365344782,1.6824749029874893,1.676642353286302,1.740181906147548,1.5735458128419215,1.8632842152864408
514.1,0.1167942435,1.520518081918414,1.6565768092410802,1.682440525811048,1.6766200240474425,1.7401414498384535,1.5735302408949972,1.863226960823178
514.3,0.1130789965,1.5205058256167108,1.6565463091556072,1.682406148634607,1.676597728163992,1.7401010419143106,1.573514657707284,1.863169760442591
514.4,0.1131266281,1.5204997025596878,1.6565310801197064,1.6823889600463862,1.6765865936992514,1.7400808562002474,1.5735068612914418,1.8631411808577247
514.6,0.1157463565,1.5204874666332988,1.6565006640615758,1.682354582869945,1.6765643536611532,1.7400405214754406,1.5734912576024056,1.8630840635476957
514.7,0.1174849048,1.520481353763933,1.6564854770393462,1.6823373942817244,1.676553248862761,1.7400203725476182,1.57348344984386,1.8630555260820723
514.9,0.1149842516,1.5204691382128583,1.6564551450085585,1.6823030171052833,1.676531071644702,1.7399801117684377,1.5734678212853337,1.8629984941784554
515.0,0.1156749055,1.5204630355311497,1.65644,1.6822858285170623,1.67652,1.73996,1.57346,1.86297
515.2,0.1173420101,1.5204508403553891,1.6564097519965544,1.6822514513406217,1.676497891964475,1.7399198138376344,1.5734443430029,1.8629130560484723
515.4,0.1154843792,1.5204386587631715,1.6563795600113376,1.6822170741641802,1.676475830660444,1.7398796774338767,1.5734286688817765,1.8628561731484314
515.5,0.1165799052,1.5204325730608916,1.6563644850255648,1.6821998855759597,1.6764648173535874,1.7398596278543126,1.573420826291301,1.8628277553105645
515.7,0.1180088446,1.520420411843988,1.65633437706769,1.6821655083995184,1.676442825071886,1.7398195658654871,1.57340513183371,1.8627709682948275
515.8,0.1176992431,1.5204143363293652,1.6563193440955886,1.682148319811298,1.6764318459537193,1.7397995534264945,1.5733972806798702,1.862742599691234
516.0,0.1131504402,1.520402195487776,1.6562893201650564,1.6821139426348566,1.6764099214044508,1.739759565585023,1.57338157230529,1.8626859137282867
516.2,0.1133171543,1.5203900682297302,1.6562593522527531,1.6820795654584153,1.6763880412935284,1.7397196270264672,1.5733658582190948,1.8626292980052483
516.3,0.1132218912,1.5203840097092145,1.6562443889367022,1.6820623768701948,1.6763771177232951,1.7396996761911192,1.5733579999257363,1.8626010172015397
516.5,0.1166513488,1.520371902943913,1.656214502117863,1.6820279996937535,1.6763553031949794,1.7396598113339563,1.5733422826216843,1.8625445111454362
516.6,0.1184137166,1.5203658546991272,1.6561995786150752,1.682010811105533,1.6763444120935749,1.73963989728241,1.5733344243242666,1.8625162864673164
516.8,0.1136505753,1.5203537684852857,1.6561697714227614,1.681976433929092,1.6763226618579694,1.7396001058590616,1.5733187102218371,1.8624598952466338
516.9,0.1174610853,1.5203477305162298,1.6561548877332364,1.6819592453408712,1.6763118025804464,1.7395802284575292,1.5733108551301014,1.8624317292783472
517.1,0.1139601767,1.5203356648538475,1.656125160167448,1.68192486816443,1.6762901153476557,1.7395405102004189,1.5732951506487738,1.8623754580615721
